time	myId	metric_died_count	metric_new_hospitalized	metric_new_critical	metric_new_cases_asympt	metric_new_cases_sympt	metric_new_deaths	
2	d_35	0	0	0	0	0	0	
2	d_32	0	0	0	0	0	0	
2	d_33	0	0	0	0	0	0	
2	d_30	0	0	0	0	0	0	
2	d_31	0	0	0	0	0	0	
2	d_18	0	0	0	0	0	0	
2	d_19	0	0	0	0	0	0	
2	d_16	0	0	0	0	0	0	
2	d_17	0	0	0	0	0	0	
2	d_25	0	0	0	0	0	0	
2	d_26	0	0	0	0	0	0	
2	d_23	0	0	0	0	0	0	
2	d_24	0	0	0	0	0	0	
2	d_21	0	0	0	0	0	0	
2	d_22	0	0	0	0	0	0	
2	d_20	0	0	0	0	0	0	
2	d_60	0	0	0	0	0	0	
2	d_49	0	0	0	0	0	0	
2	d_14	0	0	0	0	0	0	
2	d_58	0	0	0	0	0	0	
2	d_15	0	0	0	0	0	0	
2	d_59	0	0	0	0	0	0	
2	d_12	0	0	0	0	0	0	
2	d_56	0	0	0	0	0	0	
2	d_13	0	0	0	0	0	0	
2	d_57	0	0	0	0	0	0	
2	d_10	0	0	0	0	0	0	
2	d_54	0	0	0	0	0	0	
2	d_11	0	0	0	0	0	0	
2	d_55	0	0	0	0	0	0	
2	d_52	0	0	0	0	0	0	
2	d_53	0	0	0	0	0	0	
2	d_50	0	0	0	0	0	0	
2	d_51	0	0	0	0	0	0	
3	d_38	0	0	0	0	0	0	
3	d_39	0	0	0	0	0	0	
3	d_47	0	0	0	0	0	0	
3	d_48	0	0	0	0	0	0	
3	d_45	0	0	0	0	0	0	
3	d_46	0	0	0	0	0	0	
3	d_43	0	0	0	0	0	0	
3	d_44	0	0	0	0	0	0	
3	d_2	0	0	0	0	0	0	
3	d_41	0	0	0	0	0	0	
3	d_1	0	0	0	0	0	0	
3	d_42	0	0	0	0	0	0	
3	d_4	0	0	0	0	0	0	
3	d_3	0	0	0	0	0	0	
3	d_40	0	0	0	0	0	0	
3	d_6	0	0	0	0	0	0	
3	d_5	0	0	0	0	0	0	
3	d_8	0	0	0	0	0	0	
3	d_7	0	0	0	0	0	0	
3	d_9	0	0	0	0	0	0	
3	d_29	0	0	0	0	0	0	
3	d_27	0	0	0	0	0	0	
3	d_28	0	0	0	0	0	0	
3	d_36	0	0	0	0	0	0	
3	d_37	0	0	0	0	0	0	
3	d_34	0	0	0	0	0	0	
3	d_35	0	0	0	0	0	0	
3	d_32	0	0	0	0	0	0	
3	d_33	0	0	0	0	0	0	
3	d_30	0	0	0	0	0	0	
3	d_31	0	0	0	0	0	0	
3	d_18	0	0	0	0	0	0	
3	d_19	0	0	0	0	0	0	
3	d_16	0	0	0	0	0	0	
3	d_17	0	0	0	0	0	0	
3	d_25	0	0	0	0	0	0	
3	d_26	0	0	0	0	0	0	
3	d_23	0	0	0	0	0	0	
3	d_24	0	0	0	0	0	0	
3	d_21	0	0	0	0	0	0	
3	d_22	0	0	0	0	0	0	
3	d_20	0	0	0	0	0	0	
3	d_60	0	0	0	0	0	0	
3	d_49	0	0	0	0	0	0	
3	d_14	0	0	0	0	0	0	
3	d_58	0	0	0	0	0	0	
3	d_15	0	0	0	0	0	0	
3	d_59	0	0	0	0	0	0	
3	d_12	0	0	0	0	0	0	
3	d_56	0	0	0	0	0	0	
3	d_13	0	0	0	0	0	0	
3	d_57	0	0	0	0	0	0	
3	d_10	0	0	0	0	0	0	
3	d_54	0	0	0	0	0	0	
3	d_11	0	0	0	0	0	0	
3	d_55	0	0	0	0	0	0	
3	d_52	0	0	0	0	0	0	
3	d_53	0	0	0	0	0	0	
3	d_50	0	0	0	0	0	0	
3	d_51	0	0	0	0	0	0	
4	d_38	0	0	0	0	0	0	
4	d_39	0	0	0	0	0	0	
4	d_47	0	0	0	0	0	0	
4	d_48	0	0	0	0	0	0	
4	d_45	0	0	0	0	0	0	
4	d_46	0	0	0	0	0	0	
4	d_43	0	0	0	0	0	0	
4	d_44	0	0	0	0	0	0	
4	d_2	0	0	0	0	0	0	
4	d_41	0	0	0	0	0	0	
4	d_1	0	0	0	0	0	0	
4	d_42	0	0	0	0	0	0	
4	d_4	0	0	0	0	0	0	
4	d_3	0	0	0	0	0	0	
4	d_40	0	0	0	0	0	0	
4	d_6	0	0	0	0	0	0	
4	d_5	0	0	0	0	0	0	
4	d_8	0	0	0	0	0	0	
4	d_7	0	0	0	0	0	0	
4	d_9	0	0	0	0	0	0	
4	d_29	0	0	0	0	0	0	
4	d_27	0	0	0	0	0	0	
4	d_28	0	0	0	0	0	0	
4	d_36	0	0	0	0	0	0	
4	d_37	0	0	0	0	0	0	
4	d_34	0	0	0	0	0	0	
4	d_35	0	0	0	0	0	0	
4	d_32	0	0	0	0	0	0	
4	d_33	0	0	0	0	0	0	
4	d_30	0	0	0	0	0	0	
4	d_31	0	0	0	0	0	0	
4	d_18	0	0	0	0	0	0	
4	d_19	0	0	0	0	0	0	
4	d_16	0	0	0	0	0	0	
4	d_17	0	0	0	0	0	0	
4	d_25	0	0	0	0	0	0	
4	d_26	0	0	0	0	0	0	
4	d_23	0	0	0	0	0	0	
4	d_24	0	0	0	0	0	0	
4	d_21	0	0	0	0	0	0	
4	d_22	0	0	0	0	0	0	
4	d_20	0	0	0	0	0	0	
4	d_60	0	0	0	0	0	0	
4	d_49	0	0	0	0	0	0	
4	d_14	0	0	0	0	0	0	
4	d_58	0	0	0	0	0	0	
4	d_15	0	0	0	0	0	0	
4	d_59	0	0	0	0	0	0	
4	d_12	0	0	0	0	0	0	
4	d_56	0	0	0	0	0	0	
4	d_13	0	0	0	0	0	0	
4	d_57	0	0	0	0	0	0	
4	d_10	0	0	0	0	0	0	
4	d_54	0	0	0	0	0	0	
4	d_11	0	0	0	0	0	0	
4	d_55	0	0	0	0	0	0	
4	d_52	0	0	0	0	0	0	
4	d_53	0	0	0	0	0	0	
4	d_50	0	0	0	0	0	0	
4	d_51	0	0	0	0	0	0	
5	d_38	0	0	0	0	0	0	
5	d_39	0	0	0	0	0	0	
5	d_47	0	0	0	0	0	0	
5	d_48	0	0	0	0	0	0	
5	d_45	0	0	0	0	0	0	
5	d_46	0	0	0	0	0	0	
5	d_43	0	0	0	0	0	0	
5	d_44	0	0	0	0	0	0	
5	d_2	0	0	0	0	0	0	
5	d_41	0	0	0	0	0	0	
5	d_1	0	0	0	0	0	0	
5	d_42	0	0	0	0	0	0	
5	d_4	0	0	0	0	0	0	
5	d_3	0	0	0	0	0	0	
5	d_40	0	0	0	0	0	0	
5	d_6	0	0	0	0	0	0	
5	d_5	0	0	0	0	0	0	
5	d_8	0	0	0	0	0	0	
5	d_7	0	0	0	0	0	0	
5	d_9	0	0	0	0	0	0	
5	d_29	0	0	0	0	0	0	
5	d_27	0	0	0	0	0	0	
5	d_28	0	0	0	0	0	0	
5	d_36	0	0	0	0	0	0	
5	d_37	0	0	0	0	0	0	
5	d_34	0	0	0	0	0	0	
5	d_35	0	0	0	0	0	0	
5	d_32	0	0	0	0	0	0	
5	d_33	0	0	0	0	0	0	
5	d_30	0	0	0	0	0	0	
5	d_31	0	0	0	0	0	0	
5	d_18	0	0	0	0	0	0	
5	d_19	0	0	0	0	0	0	
5	d_16	0	0	0	0	0	0	
5	d_17	0	0	0	0	0	0	
5	d_25	0	0	0	0	0	0	
5	d_26	0	0	0	0	0	0	
5	d_23	0	0	0	0	0	0	
5	d_24	0	0	0	0	0	0	
5	d_21	0	0	0	0	0	0	
5	d_22	0	0	0	0	0	0	
5	d_20	0	0	0	0	0	0	
5	d_60	0	0	0	0	0	0	
5	d_49	0	0	0	0	0	0	
5	d_14	0	0	0	0	0	0	
5	d_58	0	0	0	0	0	0	
5	d_15	0	0	0	0	0	0	
5	d_59	0	0	0	0	0	0	
5	d_12	0	0	0	0	0	0	
5	d_56	0	0	0	0	0	0	
5	d_13	0	0	0	0	0	0	
5	d_57	0	0	0	0	0	0	
5	d_10	0	0	0	0	0	0	
5	d_54	0	0	0	0	0	0	
5	d_11	0	0	0	0	0	0	
5	d_55	0	0	0	0	0	0	
5	d_52	0	0	0	0	0	0	
5	d_53	0	0	0	0	0	0	
5	d_50	0	0	0	0	0	0	
5	d_51	0	0	0	0	0	0	
6	d_38	0	0	0	0	0	0	
6	d_39	0	0	0	0	0	0	
6	d_47	0	0	0	0	0	0	
6	d_48	0	0	0	0	0	0	
6	d_45	0	0	0	0	0	0	
6	d_46	0	0	0	0	0	0	
6	d_43	0	0	0	0	0	0	
6	d_44	0	0	0	0	0	0	
6	d_2	0	0	0	0	3	0	
6	d_41	0	0	0	0	0	0	
6	d_1	0	0	0	0	0	0	
6	d_42	0	0	0	0	0	0	
6	d_4	0	0	0	0	0	0	
6	d_3	0	0	0	0	0	0	
6	d_40	0	0	0	0	0	0	
6	d_6	0	0	0	0	0	0	
6	d_5	0	0	0	0	0	0	
6	d_8	0	0	0	0	0	0	
6	d_7	0	0	0	0	0	0	
6	d_9	0	0	0	0	0	0	
6	d_29	0	0	0	0	0	0	
6	d_27	0	0	0	0	0	0	
6	d_28	0	0	0	0	0	0	
6	d_36	0	0	0	0	0	0	
6	d_37	0	0	0	0	0	0	
6	d_34	0	0	0	0	0	0	
6	d_35	0	0	0	0	0	0	
6	d_32	0	0	0	0	0	0	
6	d_33	0	0	0	0	0	0	
6	d_30	0	0	0	0	0	0	
6	d_31	0	0	0	0	0	0	
6	d_18	0	0	0	1	0	0	
6	d_19	0	0	0	0	0	0	
6	d_16	0	0	0	0	0	0	
6	d_17	0	0	0	0	0	0	
6	d_25	0	0	0	0	0	0	
6	d_26	0	0	0	0	0	0	
6	d_23	0	0	0	0	0	0	
6	d_24	0	0	0	0	0	0	
6	d_21	0	0	0	0	0	0	
6	d_22	0	0	0	0	0	0	
6	d_20	0	0	0	0	0	0	
6	d_60	0	0	0	0	0	0	
6	d_49	0	0	0	0	0	0	
6	d_14	0	0	0	0	0	0	
6	d_58	0	0	0	0	0	0	
6	d_15	0	0	0	0	0	0	
6	d_59	0	0	0	0	0	0	
6	d_12	0	0	0	0	0	0	
6	d_56	0	0	0	0	0	0	
6	d_13	0	0	0	0	0	0	
6	d_57	0	0	0	0	0	0	
6	d_10	0	0	0	0	0	0	
6	d_54	0	0	0	0	0	0	
6	d_11	0	0	0	0	0	0	
6	d_55	0	0	0	0	0	0	
6	d_52	0	0	0	0	0	0	
6	d_53	0	0	0	0	0	0	
6	d_50	0	0	0	0	0	0	
6	d_51	0	0	0	0	0	0	
7	d_38	0	0	0	0	0	0	
7	d_39	0	0	0	0	0	0	
7	d_47	0	0	0	0	0	0	
7	d_48	0	0	0	0	1	0	
7	d_45	0	0	0	0	0	0	
7	d_46	0	0	0	0	0	0	
7	d_43	0	0	0	0	0	0	
7	d_44	0	0	0	0	0	0	
7	d_2	0	0	0	0	0	0	
7	d_41	0	0	0	0	0	0	
7	d_1	0	0	0	0	1	0	
7	d_42	0	0	0	0	0	0	
7	d_4	0	0	0	0	0	0	
7	d_3	0	0	0	0	0	0	
7	d_40	0	0	0	0	0	0	
7	d_6	0	0	0	0	0	0	
7	d_5	0	0	0	0	0	0	
7	d_8	0	0	0	0	0	0	
7	d_7	0	0	0	0	0	0	
7	d_9	0	0	0	0	0	0	
7	d_29	0	0	0	0	0	0	
7	d_27	0	0	0	0	0	0	
7	d_28	0	0	0	0	0	0	
7	d_36	0	0	0	0	0	0	
7	d_37	0	0	0	0	0	0	
7	d_34	0	0	0	0	0	0	
7	d_35	0	0	0	0	0	0	
7	d_32	0	0	0	0	0	0	
7	d_33	0	0	0	0	0	0	
7	d_30	0	0	0	0	0	0	
7	d_31	0	0	0	0	0	0	
7	d_18	0	0	0	1	1	0	
7	d_19	0	0	0	0	0	0	
7	d_16	0	0	0	0	0	0	
7	d_17	0	0	0	0	0	0	
7	d_25	0	0	0	0	0	0	
7	d_26	0	0	0	0	0	0	
7	d_23	0	0	0	0	0	0	
7	d_24	0	0	0	0	1	0	
7	d_21	0	0	0	0	0	0	
7	d_22	0	0	0	0	0	0	
7	d_20	0	0	0	0	0	0	
7	d_60	0	0	0	0	0	0	
7	d_49	0	0	0	0	0	0	
7	d_14	0	0	0	0	0	0	
7	d_58	0	0	0	0	0	0	
7	d_15	0	0	0	0	0	0	
7	d_59	0	0	0	0	0	0	
7	d_12	0	0	0	0	0	0	
7	d_56	0	0	0	0	0	0	
7	d_13	0	0	0	0	0	0	
7	d_57	0	0	0	0	0	0	
7	d_10	0	0	0	0	0	0	
7	d_54	0	0	0	0	0	0	
7	d_11	0	0	0	0	0	0	
7	d_55	0	0	0	0	0	0	
7	d_52	0	0	0	0	0	0	
7	d_53	0	0	0	0	0	0	
7	d_50	0	0	0	0	0	0	
7	d_51	0	0	0	0	0	0	
8	d_38	0	0	0	0	0	0	
8	d_39	0	0	0	0	0	0	
8	d_47	0	0	0	0	0	0	
8	d_48	0	0	0	0	0	0	
8	d_45	0	0	0	0	0	0	
8	d_46	0	0	0	0	0	0	
8	d_43	0	0	0	0	0	0	
8	d_44	0	0	0	0	0	0	
8	d_2	0	0	0	0	0	0	
8	d_41	0	0	0	0	0	0	
8	d_1	0	0	0	0	0	0	
8	d_42	0	0	0	0	0	0	
8	d_4	0	0	0	0	0	0	
8	d_3	0	0	0	0	0	0	
8	d_40	0	0	0	0	0	0	
8	d_6	0	0	0	0	0	0	
8	d_5	0	0	0	0	0	0	
8	d_8	0	0	0	0	0	0	
8	d_7	0	0	0	0	0	0	
8	d_9	0	0	0	0	0	0	
8	d_29	0	0	0	0	0	0	
8	d_27	0	0	0	0	0	0	
8	d_28	0	0	0	0	0	0	
8	d_36	0	0	0	0	0	0	
8	d_37	0	0	0	0	0	0	
8	d_34	0	0	0	0	0	0	
8	d_35	0	0	0	0	0	0	
8	d_32	0	0	0	0	0	0	
8	d_33	0	0	0	0	0	0	
8	d_30	0	0	0	0	0	0	
8	d_31	0	0	0	0	0	0	
8	d_18	0	0	0	0	0	0	
8	d_19	0	0	0	0	0	0	
8	d_16	0	0	0	0	0	0	
8	d_17	0	0	0	0	0	0	
8	d_25	0	0	0	0	0	0	
8	d_26	0	0	0	0	0	0	
8	d_23	0	0	0	0	0	0	
8	d_24	0	0	0	0	0	0	
8	d_21	0	0	0	0	0	0	
8	d_22	0	0	0	0	0	0	
8	d_20	0	0	0	0	0	0	
8	d_60	0	0	0	0	0	0	
8	d_49	0	0	0	0	0	0	
8	d_14	0	0	0	0	0	0	
8	d_58	0	0	0	0	0	0	
8	d_15	0	0	0	0	0	0	
8	d_59	0	0	0	0	0	0	
8	d_12	0	0	0	0	0	0	
8	d_56	0	0	0	0	0	0	
8	d_13	0	0	0	0	0	0	
8	d_57	0	0	0	0	0	0	
8	d_10	0	0	0	0	0	0	
8	d_54	0	0	0	0	0	0	
8	d_11	0	0	0	0	0	0	
8	d_55	0	0	0	0	0	0	
8	d_52	0	0	0	0	0	0	
8	d_53	0	0	0	0	0	0	
8	d_50	0	0	0	0	0	0	
8	d_51	0	0	0	0	0	0	
9	d_38	0	0	0	0	0	0	
9	d_39	0	0	0	0	0	0	
9	d_47	0	0	0	0	0	0	
9	d_48	0	0	0	0	0	0	
9	d_45	0	0	0	0	0	0	
9	d_46	0	0	0	0	0	0	
9	d_43	0	0	0	0	0	0	
9	d_44	0	0	0	0	0	0	
9	d_2	0	0	0	1	0	0	
9	d_41	0	0	0	0	0	0	
9	d_1	0	0	0	0	1	0	
9	d_42	0	0	0	0	0	0	
9	d_4	0	0	0	0	0	0	
9	d_3	0	0	0	0	0	0	
9	d_40	0	0	0	0	0	0	
9	d_6	0	0	0	0	0	0	
9	d_5	0	0	0	0	0	0	
9	d_8	0	0	0	0	0	0	
9	d_7	0	0	0	0	0	0	
9	d_9	0	0	0	0	0	0	
9	d_29	0	0	0	0	0	0	
9	d_27	0	0	0	0	0	0	
9	d_28	0	0	0	0	0	0	
9	d_36	0	0	0	0	0	0	
9	d_37	0	0	0	0	0	0	
9	d_34	0	0	0	0	0	0	
9	d_35	0	0	0	0	0	0	
9	d_32	0	0	0	0	0	0	
9	d_33	0	0	0	0	0	0	
9	d_30	0	0	0	0	0	0	
9	d_31	0	0	0	0	0	0	
9	d_18	0	0	0	0	0	0	
9	d_19	0	0	0	0	0	0	
9	d_16	0	0	0	0	0	0	
9	d_17	0	0	0	0	0	0	
9	d_25	0	0	0	0	0	0	
9	d_26	0	0	0	0	0	0	
9	d_23	0	0	0	0	0	0	
9	d_24	0	0	0	0	0	0	
9	d_21	0	0	0	0	0	0	
9	d_22	0	0	0	0	0	0	
9	d_20	0	0	0	0	0	0	
9	d_60	0	0	0	0	0	0	
9	d_49	0	0	0	0	0	0	
9	d_14	0	0	0	0	0	0	
9	d_58	0	0	0	0	0	0	
9	d_15	0	0	0	0	0	0	
9	d_59	0	0	0	0	0	0	
9	d_12	0	0	0	0	0	0	
9	d_56	0	0	0	0	0	0	
9	d_13	0	0	0	0	0	0	
9	d_57	0	0	0	0	0	0	
9	d_10	0	0	0	0	0	0	
9	d_54	0	0	0	0	0	0	
9	d_11	0	0	0	0	0	0	
9	d_55	0	0	0	0	0	0	
9	d_52	0	0	0	0	0	0	
9	d_53	0	0	0	0	0	0	
9	d_50	0	0	0	0	0	0	
9	d_51	0	0	0	0	0	0	
10	d_38	0	0	0	0	0	0	
10	d_39	0	0	0	0	0	0	
10	d_47	0	0	0	0	0	0	
10	d_48	0	0	0	0	0	0	
10	d_45	0	0	0	0	0	0	
10	d_46	0	0	0	0	0	0	
10	d_43	0	0	0	0	0	0	
10	d_44	0	0	0	0	0	0	
10	d_2	0	0	0	0	0	0	
10	d_41	0	0	0	0	0	0	
10	d_1	0	0	0	0	0	0	
10	d_42	0	0	0	0	0	0	
10	d_4	0	0	0	0	0	0	
10	d_3	0	0	0	0	0	0	
10	d_40	0	0	0	0	0	0	
10	d_6	0	0	0	0	0	0	
10	d_5	0	0	0	0	0	0	
10	d_8	0	0	0	0	0	0	
10	d_7	0	0	0	0	0	0	
10	d_9	0	0	0	0	0	0	
10	d_29	0	0	0	0	0	0	
10	d_27	0	0	0	0	0	0	
10	d_28	0	0	0	0	0	0	
10	d_36	0	0	0	0	0	0	
10	d_37	0	0	0	0	0	0	
10	d_34	0	0	0	0	0	0	
10	d_35	0	0	0	0	0	0	
10	d_32	0	0	0	0	0	0	
10	d_33	0	0	0	0	0	0	
10	d_30	0	0	0	0	0	0	
10	d_31	0	0	0	0	0	0	
10	d_18	0	0	0	0	0	0	
10	d_19	0	0	0	0	0	0	
10	d_16	0	0	0	0	0	0	
10	d_17	0	0	0	0	0	0	
10	d_25	0	0	0	0	0	0	
10	d_26	0	0	0	0	0	0	
10	d_23	0	0	0	0	0	0	
10	d_24	0	0	0	0	0	0	
10	d_21	0	0	0	0	0	0	
10	d_22	0	0	0	0	0	0	
10	d_20	0	0	0	0	0	0	
10	d_60	0	0	0	0	0	0	
10	d_49	0	0	0	0	0	0	
10	d_14	0	0	0	0	0	0	
10	d_58	0	0	0	0	0	0	
10	d_15	0	0	0	0	0	0	
10	d_59	0	0	0	0	0	0	
10	d_12	0	0	0	0	0	0	
10	d_56	0	0	0	0	0	0	
10	d_13	0	0	0	0	0	0	
10	d_57	0	0	0	0	0	0	
10	d_10	0	0	0	0	0	0	
10	d_54	0	0	0	0	0	0	
10	d_11	0	0	0	0	0	0	
10	d_55	0	0	0	0	0	0	
10	d_52	0	0	0	0	0	0	
10	d_53	0	0	0	0	0	0	
10	d_50	0	0	0	0	0	0	
10	d_51	0	0	0	0	0	0	
11	d_38	0	0	0	0	0	0	
11	d_39	0	0	0	0	0	0	
11	d_47	0	0	0	0	0	0	
11	d_48	0	0	0	0	0	0	
11	d_45	0	0	0	0	0	0	
11	d_46	0	0	0	0	0	0	
11	d_43	0	0	0	0	0	0	
11	d_44	0	0	0	0	0	0	
11	d_2	0	0	0	0	0	0	
11	d_41	0	0	0	0	0	0	
11	d_1	0	0	0	0	0	0	
11	d_42	0	0	0	0	0	0	
11	d_4	0	0	0	0	0	0	
11	d_3	0	0	0	0	0	0	
11	d_40	0	0	0	0	0	0	
11	d_6	0	0	0	0	0	0	
11	d_5	0	0	0	0	0	0	
11	d_8	0	0	0	0	0	0	
11	d_7	0	0	0	0	0	0	
11	d_9	0	0	0	0	0	0	
11	d_29	0	0	0	0	0	0	
11	d_27	0	0	0	0	0	0	
11	d_28	0	0	0	0	0	0	
11	d_36	0	0	0	0	0	0	
11	d_37	0	0	0	0	0	0	
11	d_34	0	0	0	0	0	0	
11	d_35	0	0	0	0	0	0	
11	d_32	0	0	0	0	0	0	
11	d_33	0	0	0	0	0	0	
11	d_30	0	0	0	0	0	0	
11	d_31	0	0	0	0	0	0	
11	d_18	0	0	0	0	1	0	
11	d_19	0	0	0	0	0	0	
11	d_16	0	0	0	0	0	0	
11	d_17	0	0	0	0	0	0	
11	d_25	0	0	0	0	0	0	
11	d_26	0	0	0	0	0	0	
11	d_23	0	0	0	0	0	0	
11	d_24	0	0	0	0	0	0	
11	d_21	0	0	0	0	0	0	
11	d_22	0	0	0	0	0	0	
11	d_20	0	0	0	0	0	0	
11	d_60	0	0	0	0	0	0	
11	d_49	0	0	0	0	0	0	
11	d_14	0	0	0	0	0	0	
11	d_58	0	0	0	0	0	0	
11	d_15	0	0	0	0	0	0	
11	d_59	0	0	0	0	0	0	
11	d_12	0	0	0	0	0	0	
11	d_56	0	0	0	0	0	0	
11	d_13	0	0	0	0	0	0	
11	d_57	0	0	0	0	0	0	
11	d_10	0	0	0	0	0	0	
11	d_54	0	0	0	0	0	0	
11	d_11	0	0	0	0	0	0	
11	d_55	0	0	0	0	0	0	
11	d_52	0	0	0	0	0	0	
11	d_53	0	0	0	0	0	0	
11	d_50	0	0	0	0	0	0	
11	d_51	0	0	0	0	0	0	
12	d_38	0	0	0	0	0	0	
12	d_39	0	0	0	0	0	0	
12	d_47	0	0	0	0	0	0	
12	d_48	0	0	0	0	0	0	
12	d_45	0	0	0	0	0	0	
12	d_46	0	0	0	0	0	0	
12	d_43	0	0	0	0	0	0	
12	d_44	0	0	0	0	0	0	
12	d_2	0	0	0	0	0	0	
12	d_41	0	0	0	0	0	0	
